AGI	Experiment	Category	Melt_Cat
AT1G01140	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G01260	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G01300	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G01490	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G01720	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G03630	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G04240	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G04280	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G04970	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G05140	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G05260	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G06200	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G06645	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G07200	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G07350	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G07590	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G07770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G08630	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G09970	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G10020	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G10070	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G10170	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G10700	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G10720	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G11440	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G13245	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G14200	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G15110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G15820	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G15860	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G18200	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G18300	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G18950	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G19397	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G21310	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G21400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G22190	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G22360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G25420	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G25440	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G26270	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G27290	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G27670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G28190	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G28330	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G28670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G29400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G30360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G31970	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G32170	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G32230	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G34260	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G42960	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G45160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G48300	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G49010	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G50000	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G50290	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G51690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G54410	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G55350	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G57680	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G60950	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G61790	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G62300	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G64065	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G64160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G64720	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G64850	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G65440	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G66890	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G67230	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G67340	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G67740	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G69760	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G69850	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G69980	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G70090	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G71110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G72050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G72150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G72180	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G73260	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G73500	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G74790	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G75335	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G75490	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G76600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G76930	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G77680	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G77800	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G78070	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G78080	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G78270	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G78460	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G79160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G79700	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G01140	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G01450	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G01670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G01850	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G01930	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G02710	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G05380	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G05540	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G05710	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G05920	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G13360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G15430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G15695	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G15880	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G16900	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G17110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G17240	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G17390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G18160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G18162	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G18560	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G19570	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G20610	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G20670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G20890	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G20960	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G21950	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G22010	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G22430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G23690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G24240	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G25090	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G25900	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G26560	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G28110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G28910	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G29320	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G29660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G30600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G33480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G34110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G34420	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G36320	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G36800	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G37220	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G37920	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G38310	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G38400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G38860	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G39660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G39710	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G41410	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G41870	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G42030	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G42390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G43150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G43330	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G44065	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G45680	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G47450	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01590	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01970	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02140	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02468	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02470	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02830	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G03150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G03990	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G05060	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G05937	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G06080	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G07430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G07660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G08730	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G09390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G10190	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G11090	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G12360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G12400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13350	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13520	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13750	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13790	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G14067	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G14650	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G14660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G15354	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G15530	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G16150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G16720	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G16770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G17800	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G18030	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G18080	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G19540	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G20390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G20898	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G22380	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G23390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G23550	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G23820	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G24070	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G24080	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G25717	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G26520	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G27210	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G44010	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G47820	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48000	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48870	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G50690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G50770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G51110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G51430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G52480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G53668	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G53670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G54100	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G54670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G54900	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G55730	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G55960	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G60140	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G60400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G61600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G61690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G62980	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G63210	GMUCT	UP_DOWN	GMUCT_UP_DOWN
