AGI	Experiment	Category	Melt_Cat
AT1G01050	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01060	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01080	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01090	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01100	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01120	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01130	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01160	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01170	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01260	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01280	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01300	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01320	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01360	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01450	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01470	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01490	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01510	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01550	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01600	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01610	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01620	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01720	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01830	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01910	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01960	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G01990	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02000	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02050	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02060	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02070	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02090	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02110	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02140	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02150	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02450	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02500	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02640	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02690	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02720	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G02780	SMALL	UP_XRN4	SMALL_UP_XRN4
