AGI	Tissue
AT1G67090	14_day_old_seedling
AT1G29930	14_day_old_seedling
AT2G34420	14_day_old_seedling
AT3G47470	14_day_old_seedling
AT4G10340	14_day_old_seedling
AT5G54270	14_day_old_seedling
AT1G31330	14_day_old_seedling
AT5G38410	14_day_old_seedling
AT3G54890	14_day_old_seedling
AT5G66570	14_day_old_seedling
AT2G39730	14_day_old_seedling
AT5G01530	14_day_old_seedling
AT1G61520	14_day_old_seedling
AT1G06680	14_day_old_seedling
AT1G20620	14_day_old_seedling
AT1G29910	14_day_old_seedling
AT3G61470	14_day_old_seedling
AT5G54770	14_day_old_seedling
AT1G55670	14_day_old_seedling
AT4G28750	14_day_old_seedling
AT1G20340	14_day_old_seedling
AT1G30380	14_day_old_seedling
AT3G26740	14_day_old_seedling
AT4G02770	14_day_old_seedling
AT4G12800	14_day_old_seedling
AT5G38420	14_day_old_seedling
AT1G12090	14_day_old_seedling
AT1G23310	14_day_old_seedling
AT3G08940	14_day_old_seedling
AT1G72610	14_day_old_seedling
AT3G01500	14_day_old_seedling
AT5G46110	14_day_old_seedling
AT2G06520	14_day_old_seedling
AT4G05180	14_day_old_seedling
AT3G60750	14_day_old_seedling
AT1G08380	14_day_old_seedling
AT4G21960	14_day_old_seedling
AT5G26000	14_day_old_seedling
AT1G29920	14_day_old_seedling
AT1G32060	14_day_old_seedling
AT2G30570	14_day_old_seedling
AT5G60390	14_day_old_seedling
AT3G26520	14_day_old_seedling
AT4G38970	14_day_old_seedling
AT2G05100	14_day_old_seedling
AT4G01150	14_day_old_seedling
AT3G12120	14_day_old_seedling
AT4G37930	14_day_old_seedling
AT5G17920	14_day_old_seedling
AT4G38770	14_day_old_seedling
AT2G10940	14_day_old_seedling
AT3G56940	14_day_old_seedling
AT1G79040	14_day_old_seedling
AT3G14420	14_day_old_seedling
AT4G04640	14_day_old_seedling
AT4G33010	14_day_old_seedling
AT1G20020	14_day_old_seedling
AT3G11630	14_day_old_seedling
AT1G60950	14_day_old_seedling
AT1G44575	14_day_old_seedling
AT2G05070	14_day_old_seedling
AT5G02500	14_day_old_seedling
AT3G16140	14_day_old_seedling
AT1G13930	14_day_old_seedling
AT1G15820	14_day_old_seedling
AT2G34430	14_day_old_seedling
AT2G38540	14_day_old_seedling
AT3G08580	14_day_old_seedling
AT4G03280	14_day_old_seedling
AT4G25100	14_day_old_seedling
AT1G52230	14_day_old_seedling
AT2G45960	14_day_old_seedling
AT4G27440	14_day_old_seedling
AT2G45180	14_day_old_seedling
AT5G38430	14_day_old_seedling
AT5G24770	14_day_old_seedling
AT2G20260	14_day_old_seedling
AT1G03130	14_day_old_seedling
AT5G35630	14_day_old_seedling
AT5G20630	14_day_old_seedling
AT5G64040	14_day_old_seedling
AT2G30860	14_day_old_seedling
AT2G46820	14_day_old_seedling
AT4G35100	14_day_old_seedling
AT1G67740	14_day_old_seedling
AT4G26530	14_day_old_seedling
AT3G50820	14_day_old_seedling
AT1G54780	14_day_old_seedling
AT2G37220	14_day_old_seedling
AT3G21055	14_day_old_seedling
AT3G09260	14_day_old_seedling
AT5G42980	14_day_old_seedling
AT3G45140	14_day_old_seedling
AT3G26650	14_day_old_seedling
AT4G05320	14_day_old_seedling
AT3G15840	14_day_old_seedling
AT5G61410	14_day_old_seedling
AT1G21310	14_day_old_seedling
AT3G16640	14_day_old_seedling
AT5G02380	14_day_old_seedling
AT4G39090	14_day_old_seedling
AT3G53420	14_day_old_seedling
AT4G35090	14_day_old_seedling
AT1G64720	14_day_old_seedling
AT1G42970	14_day_old_seedling
AT3G16240	14_day_old_seedling
AT5G66190	14_day_old_seedling
AT3G12780	14_day_old_seedling
AT5G25980	14_day_old_seedling
AT1G12900	14_day_old_seedling
AT4G21280	14_day_old_seedling
AT5G09660	14_day_old_seedling
AT3G16420	14_day_old_seedling
AT5G50920	14_day_old_seedling
AT5G02160	14_day_old_seedling
AT5G14740	14_day_old_seedling
AT2G13360	14_day_old_seedling
AT2G05520	14_day_old_seedling
AT3G14210	14_day_old_seedling
AT2G47400	14_day_old_seedling
AT5G42530	14_day_old_seedling
AT5G53300	14_day_old_seedling
AT3G02470	14_day_old_seedling
AT4G32260	14_day_old_seedling
AT1G72150	14_day_old_seedling
AT1G13440	14_day_old_seedling
AT1G03680	14_day_old_seedling
