AGI	Melt_Cat
AT2G22430	DNE1_knowntarget
AT5G11580	DNE1_knowntarget
AT2G18160	DNE1_knowntarget
AT5G10930	DNE1_knowntarget
AT3G22380	DNE1_knowntarget
AT3G02470	DNE1_knowntarget
AT5G16030	DNE1_knowntarget
AT1G79160	DNE1_knowntarget
AT4G15550	DNE1_knowntarget
AT2G42190	DNE1_knowntarget
AT1G24625	DNE1_knowntarget
AT1G13245	DNE1_knowntarget
AT2G47450	DNE1_knowntarget
AT2G43760	DNE1_knowntarget
AT4G30960	DNE1_knowntarget
AT1G78080	DNE1_knowntarget
AT5G24930	DNE1_knowntarget
AT4G26080	DNE1_knowntarget
AT4G16380	DNE1_knowntarget
AT5G67300	DNE1_knowntarget
AT4G08460	DNE1_knowntarget
AT5G09460	DNE1_knowntarget
AT5G10350	DNE1_knowntarget
AT4G34139	DNE1_knowntarget
AT4G05320	DNE1_knowntarget
AT3G19650	DNE1_knowntarget
AT4G22200	DNE1_knowntarget
AT1G01490	DNE1_knowntarget
AT3G16250	DNE1_knowntarget
AT3G18790	DNE1_knowntarget
AT5G25280	DNE1_knowntarget
AT3G01480	DNE1_knowntarget
AT2G41410	DNE1_knowntarget
AT5G52110	DNE1_knowntarget
AT4G14580	DNE1_knowntarget
AT3G56410	DNE1_knowntarget
AT2G07495	DNE1_knowntarget
AT1G56230	DNE1_knowntarget
AT5G63790	DNE1_knowntarget
AT3G26510	DNE1_knowntarget
AT1G33290	DNE1_knowntarget
AT3G45800	DNE1_knowntarget
AT1G22190	DNE1_knowntarget
AT4G28030	DNE1_knowntarget
AT5G20170	DNE1_knowntarget
AT2G47350	DNE1_knowntarget
AT3G23000	DNE1_knowntarget
AT4G13670	DNE1_knowntarget
AT1G08747	DNE1_knowntarget
AT3G63210	DNE1_knowntarget
AT1G12500	DNE1_knowntarget
AT5G36170	DNE1_knowntarget
AT5G57685	DNE1_knowntarget
AT4G00830	DNE1_knowntarget
AT5G22830	DNE1_knowntarget
AT4G15030	DNE1_knowntarget
AT3G25717	DNE1_knowntarget
AT1G06000	DNE1_knowntarget
AT1G60000	DNE1_knowntarget
AT5G01820	DNE1_knowntarget
AT2G02710	DNE1_knowntarget
AT3G16850	DNE1_knowntarget
AT2G17240	DNE1_knowntarget
AT1G26761	DNE1_knowntarget
AT3G52060	DNE1_knowntarget
AT5G02810	DNE1_knowntarget
AT1G13650	DNE1_knowntarget
AT5G61770	DNE1_knowntarget
AT2G39780	DNE1_knowntarget
AT5G05250	DNE1_knowntarget
AT5G54130	DNE1_knowntarget
AT5G63160	DNE1_knowntarget
AT1G74100	DNE1_knowntarget
AT1G07010	DNE1_knowntarget
AT3G55250	DNE1_knowntarget
AT1G21900	DNE1_knowntarget
AT1G53870	DNE1_knowntarget
AT1G53890	DNE1_knowntarget
AT5G02530	DNE1_knowntarget
AT3G58090	DNE1_knowntarget
AT2G01100	DNE1_knowntarget
AT3G24010	DNE1_knowntarget
AT1G52870	DNE1_knowntarget
AT3G59800	DNE1_knowntarget
AT2G41290	DNE1_knowntarget
AT4G37000	DNE1_knowntarget
AT1G19397	DNE1_knowntarget
AT1G53875	DNE1_knowntarget
AT1G53900	DNE1_knowntarget
AT1G48270	DNE1_knowntarget
AT5G63150	DNE1_knowntarget
AT2G32480	DNE1_knowntarget
AT2G30600	DNE1_knowntarget
AT5G59610	DNE1_knowntarget
AT3G27210	DNE1_knowntarget
AT1G53510	DNE1_knowntarget
AT5G11090	DNE1_knowntarget
AT4G05050	DNE1_knowntarget
AT1G53250	DNE1_knowntarget
AT1G24100	DNE1_knowntarget
AT5G60680	DNE1_knowntarget
AT2G37920	DNE1_knowntarget
AT1G32060	DNE1_knowntarget
AT2G36790	DNE1_knowntarget
AT4G34830	DNE1_knowntarget
AT1G14200	DNE1_knowntarget
AT1G26090	DNE1_knowntarget
AT5G13730	DNE1_knowntarget
AT3G55520	DNE1_knowntarget
AT5G01560	DNE1_knowntarget
AT5G47640	DNE1_knowntarget
AT2G40020	DNE1_knowntarget
AT2G44670	DNE1_knowntarget
AT2G25900	DNE1_knowntarget
AT3G56840	DNE1_knowntarget
AT5G20840	DNE1_knowntarget
AT2G03975	DNE1_knowntarget
AT5G03380	DNE1_knowntarget
AT1G02300	DNE1_knowntarget
AT5G19190	DNE1_knowntarget
AT1G57680	DNE1_knowntarget
AT1G74940	DNE1_knowntarget
AT3G13490	DNE1_knowntarget
AT5G02620	DNE1_knowntarget
AT2G38210	DNE1_knowntarget
AT4G36540	DNE1_knowntarget
AT5G03470	DNE1_knowntarget
AT1G32160	DNE1_knowntarget
AT2G03550	DNE1_knowntarget
AT4G37540	DNE1_knowntarget
AT5G05560	DNE1_knowntarget
AT5G50860	DNE1_knowntarget
AT1G77930	DNE1_knowntarget
AT1G60190	DNE1_knowntarget
AT5G18460	DNE1_knowntarget
AT4G09350	DNE1_knowntarget
AT5G26610	DNE1_knowntarget
AT4G30690	DNE1_knowntarget
AT5G37130	DNE1_knowntarget
AT5G22950	DNE1_knowntarget
AT4G37430	DNE1_knowntarget
AT2G13360	DNE1_knowntarget
AT2G05812	DNE1_knowntarget
AT1G69523	DNE1_knowntarget
AT2G43340	DNE1_knowntarget
AT1G76170	DNE1_knowntarget
AT1G04233	DNE1_knowntarget
AT2G21280	DNE1_knowntarget
AT5G61790	DNE1_knowntarget
AT5G64340	DNE1_knowntarget
AT1G64900	DNE1_knowntarget
AT2G01670	DNE1_knowntarget
AT3G07360	DNE1_knowntarget
AT5G65060	DNE1_knowntarget
AT2G18300	DNE1_knowntarget
AT3G54390	DNE1_knowntarget
AT5G11790	DNE1_knowntarget
AT5G19290	DNE1_knowntarget
AT1G29950	DNE1_knowntarget
AT1G56300	DNE1_knowntarget
AT2G17880	DNE1_knowntarget
AT1G12700	DNE1_knowntarget
AT1G58807	DNE1_knowntarget
AT2G31751	DNE1_knowntarget
AT5G19940	DNE1_knowntarget
AT3G20310	DNE1_knowntarget
AT1G35420	DNE1_knowntarget
AT1G54030	DNE1_knowntarget
AT4G38470	DNE1_knowntarget
AT1G77240	DNE1_knowntarget
AT4G24900	DNE1_knowntarget
AT5G53500	DNE1_knowntarget
AT3G15530	DNE1_knowntarget
AT3G53920	DNE1_knowntarget
AT3G01690	DNE1_knowntarget
AT2G22850	DNE1_knowntarget
AT2G46870	DNE1_knowntarget
AT3G20680	DNE1_knowntarget
AT1G30200	DNE1_knowntarget
AT3G26730	DNE1_knowntarget
AT3G10405	DNE1_knowntarget
AT1G78100	DNE1_knowntarget
AT1G78170	DNE1_knowntarget
AT2G39930	DNE1_knowntarget
AT5G19070	DNE1_knowntarget
AT1G59124	DNE1_knowntarget
AT5G02030	DNE1_knowntarget
AT4G14990	DNE1_knowntarget
AT4G38840	DNE1_knowntarget
AT2G15580	DNE1_knowntarget
AT3G25440	DNE1_knowntarget
AT4G19370	DNE1_knowntarget
AT1G28680	DNE1_knowntarget
AT1G71500	DNE1_knowntarget
AT4G37260	DNE1_knowntarget
AT2G15695	DNE1_knowntarget
AT2G43020	DNE1_knowntarget
AT5G60890	DNE1_knowntarget
AT2G21970	DNE1_knowntarget
AT1G80980	DNE1_knowntarget
AT4G27840	DNE1_knowntarget
AT4G36648	DNE1_knowntarget
AT1G75460	DNE1_knowntarget
AT2G33855	DNE1_knowntarget
AT1G23050	DNE1_knowntarget
AT4G31150	DNE1_knowntarget
AT5G10950	DNE1_knowntarget
AT5G15850	DNE1_knowntarget
AT1G77800	DNE1_knowntarget
AT4G26542	DNE1_knowntarget
AT1G76890	DNE1_knowntarget
AT2G20610	DNE1_knowntarget
AT3G63110	DNE1_knowntarget
AT5G25265	DNE1_knowntarget
AT4G36990	DNE1_knowntarget
AT1G78270	DNE1_knowntarget
AT5G62220	DNE1_knowntarget
AT5G66730	DNE1_knowntarget
AT2G36240	DNE1_knowntarget
AT5G63470	DNE1_knowntarget
AT3G46650	DNE1_knowntarget
AT5G44080	DNE1_knowntarget
AT5G17620	DNE1_knowntarget
AT3G18930	DNE1_knowntarget
