Transcript_ID	nbre_exon	mRNA_length	a5UTR_length	a3UTR_length	CDS	Gene_ID	nbre_intron
AT1G01010.1	6	1682	128	268	1284	AT1G01010	5
AT1G01020.1	10	1613	70	812	729	AT1G01020	9
AT1G01030.1	2	1903	611	214	1076	AT1G01030	1
AT1G01040.2	20	5857	102	40	5713	AT1G01040	19
AT1G01046.1	1	206	0	0	0	AT1G01046	0
AT1G01050.1	9	967	124	211	631	AT1G01050	8
AT1G01060.1	9	2695	437	325	1931	AT1G01060	8
AT1G01070.1	6	1305	66	145	1092	AT1G01070	5
AT1G01073.1	1	110	0	0	110	AT1G01073	0
AT1G01080.2	4	1318	229	206	881	AT1G01080	3
AT1G01090.1	3	1624	119	219	1284	AT1G01090	2
AT1G01100.1	4	583	52	193	336	AT1G01100	3
AT1G01110.2	5	1777	0	197	1579	AT1G01110	4
AT1G01115.1	1	116	0	0	116	AT1G01115	0
AT1G01120.1	1	1898	188	122	1586	AT1G01120	0
AT1G01130.1	3	372	0	0	372	AT1G01130	2
AT1G01140.3	14	1686	112	230	1342	AT1G01140	13
AT1G01150.1	4	1174	139	0	1034	AT1G01150	3
AT1G01160.2	6	1123	225	212	684	AT1G01160	5
AT1G01170.1	3	512	87	173	250	AT1G01170	2
AT1G01180.1	1	1175	49	201	923	AT1G01180	0
AT1G01183.1	1	100	0	0	0	AT1G01183	0
AT1G01190.1	2	1606	0	0	1606	AT1G01190	1
AT1G01200.1	2	980	67	199	712	AT1G01200	1
AT1G01210.1	3	613	78	215	318	AT1G01210	2
AT1G01220.1	8	3524	263	98	3161	AT1G01220	7
AT1G01225.1	2	1023	76	164	781	AT1G01225	1
AT1G01230.1	3	829	163	193	471	AT1G01230	2
AT1G01240.1	2	1286	134	155	995	AT1G01240	1
AT1G01250.1	1	839	20	239	578	AT1G01250	0
AT1G01260.1	1	2577	562	241	1772	AT1G01260	0
AT1G01270.1	1	71	0	0	0	AT1G01270	0
AT1G01280.1	2	1600	26	41	1531	AT1G01280	1
AT1G01290.1	2	1077	12	252	811	AT1G01290	1
AT1G01300.1	1	1821	121	241	1457	AT1G01300	0
AT1G01305.1	1	600	31	142	425	AT1G01305	0
AT1G01310.1	1	976	66	183	725	AT1G01310	0
AT1G01320.1	25	5990	247	370	5371	AT1G01320	24
AT1G01340.2	9	2388	175	83	2128	AT1G01340	8
AT1G01350.1	4	1396	174	191	1029	AT1G01350	3
AT1G01355.1	5	682	0	0	682	AT1G01355	4
AT1G01360.1	3	997	166	268	561	AT1G01360	2
AT1G01370.1	10	899	120	249	528	AT1G01370	9
AT1G01380.1	3	565	113	201	249	AT1G01380	2
AT1G01390.1	1	1686	44	198	1442	AT1G01390	0
AT1G01400.1	4	1141	60	468	611	AT1G01400	3
AT1G01410.1	1	1085	0	0	1085	AT1G01410	0
AT1G01420.1	1	1519	0	73	1445	AT1G01420	0
AT1G01430.1	3	1639	118	151	1368	AT1G01430	2
AT1G01440.1	5	2216	145	78	1991	AT1G01440	4
AT1G01448.1	5	2114	0	0	0	AT1G01448	4
AT1G01450.1	1	1412	0	0	1412	AT1G01450	0
AT1G01453.2	1	1224	43	310	869	AT1G01453	0
AT1G01460.1	10	1442	155	10	1275	AT1G01460	9
AT1G01470.1	2	725	121	148	454	AT1G01470	1
AT1G01471.1	1	215	0	0	215	AT1G01471	0
AT1G01480.1	4	1916	79	348	1487	AT1G01480	3
AT1G01490.1	3	1104	291	280	531	AT1G01490	2
AT1G01500.1	2	1459	126	349	982	AT1G01500	1
AT1G01510.1	7	2148	23	219	1904	AT1G01510	6
AT1G01520.1	8	856	0	0	856	AT1G01520	7
AT1G01530.1	2	750	7	0	742	AT1G01530	1
AT1G01540.2	7	1913	199	300	1412	AT1G01540	6
